Observation,Hours Studied,Exam Score,Vibe Check (Notes Just for Context)
1,0,25,Slept through the alarm entirely.
2,0.5,30,Opened the book... closed the book.
3,1,42,Did one practice problem... called it a day.
4,1.5,48,Skimmed the lecture slides while on TikTok.
5,2,55,Actually paid attention for a bit.
6,2.5,62,Group study session (mostly gossiping).
7,3,68,Solid focus. feeling okay about this.
8,3.5,73,Read the textbook. took cute highlight notes.
9,4,78,In the zone. Lo-Fi beats playing.
10,4.5,83,Confident. I am the academic weapon.
11,5,88,Peak performance. Everything makes sense.
12,5.5,92,Getting tired... but pushing through the syllabus.
13,6,95,The absolute sweet spot. Maximum efficiency.
14,6.5,94,Brain is getting a little fuzzy.
15,7,90,Started overthinking the easy questions.
16,7.5,87,Switched from water to an iced latte. Shaking.
17,8,85,Reading the same paragraph 5 times.
18,8.5,81,"Wait... did we even learn this?"
19,9,78,Exhausted. Making silly calculation mistakes.
20,9.2,75,Information is leaving the chat.
21,9.5,72,Crying over the keyboard.
22,9.8,69,Memorizing random facts... forgot the core concepts.
23,10,65,Absolute zombie mode. Hallucinating equations.
24,1.8,51,Crammed in the metro on the way to class.
25,5.2,89,Balanced effort. Slayed.
