Experience,Salary,Type
6.602287,30.72487,Standard
0.871254,8.834683,Standard
6.84105,34.78296,Standard
7.840992,36.9995,Standard
12,5,Outlier
4.346272,19.7952,Standard
9.496522,42.8897,Standard
7.406934,33.99204,Standard
12.12596,54.98452,Standard
9.016725,43.1656,Standard
14.8033,62.50136,Standard
8.419158,41.99924,Standard
14.57673,62.59595,Standard
0.248817,7.329382,Standard
11.33327,54.07708,Standard
10.36407,45.83808,Standard
0.515828,8.48353,Standard
0.953375,12.50033,Standard
4.179697,19.27765,Standard
6.479175,29.18142,Standard
12.91096,59.20492,Standard
10.94409,48.80666,Standard
1.702103,12.21606,Standard
7.341791,33.48813,Standard
6.406617,30.87866,Standard
14.05095,62.43148,Standard
11.42429,52.55905,Standard
9.113173,39.52666,Standard
2.092408,11.82607,Standard
9.899761,43.64428,Standard
9.502946,42.4697,Standard
10.93511,48.90083,Standard
11.58367,51.25541,Standard
3.331617,18.46841,Standard
12.48664,53.4442,Standard
14.26071,60.30857,Standard
12.12181,50.88684,Standard
1.618371,14.0063,Standard
7.80102,34.58621,Standard
4.71534,21.2077,Standard
5.80103,29.81175,Standard
7.944759,32.70488,Standard
6,98,Outlier
1.650779,11.72491,Standard
7.540185,33.74049,Standard
14.78476,63.3232,Standard
8.886219,37.73206,Standard
10.60286,46.58238,Standard
1.154699,7.753611,Standard
7.427654,33.68468,Standard
3.869124,22.78521,Standard
2,85,Outlier
5.495428,26.50252,Standard
10.08203,45.35243,Standard
1.793914,11.28666,Standard
11.62699,53.64037,Standard
0.104282,4.18686,Standard
12.03295,50.13028,Standard
3.419027,19.97044,Standard
2.727375,17.44945,Standard
5.454444,25.5733,Standard
7.871346,38.36646,Standard
13.50627,57.6604,Standard
5.376986,29.6287,Standard
2.113863,11.15032,Standard
5.3513,28.3816,Standard
1.465082,12.41443,Standard
11.41178,49.10346,Standard
8.140441,37.91413,Standard
3.397437,18.57211,Standard
8.090134,42.05653,Standard
3.776734,23.01204,Standard
12.1116,54.25636,Standard
1.327388,10.91845,Standard
10.54528,46.25208,Standard
13.07191,59.93416,Standard
9.563362,44.1376,Standard
1.354347,14.24202,Standard
2.772817,16.19399,Standard
6.155744,29.14819,Standard
0.611627,9.856354,Standard
12.27022,50.28613,Standard
7.66121,39.86747,Standard
10.2635,48.14512,Standard
2.980735,15.85362,Standard
14.23328,61.65859,Standard
2.557862,17.18581,Standard
1.797981,13.07058,Standard
4.070235,21.29555,Standard
8.979877,43.35365,Standard
4.770052,23.67529,Standard
3.8817,21.78695,Standard
14.54377,64.91997,Standard
13.8704,61.59984,Standard
0.082832,1.754334,Standard
1.11067,8.773045,Standard
6.261165,31.41836,Standard
4.563634,24.10351,Standard
4.96347,29.63195,Standard
7.62856,39.20167,Standard
2.062814,15.96702,Standard
4.569207,22.3719,Standard
3.739383,17.39769,Standard
13.62399,58.15755,Standard
4.38217,24.28603,Standard
14.09248,59.45192,Standard
4.811701,20.66271,Standard
9.484587,44.6463,Standard
7.781859,37.89742,Standard
11.56451,50.58954,Standard
1.11826,9.803084,Standard
12.94655,57.88536,Standard
12.25833,52.70488,Standard
2.339918,16.05447,Standard
8.9685,42.68424,Standard
2.418319,14.46304,Standard
9.177793,38.97143,Standard
10.16347,47.19522,Standard
0.381287,8.415911,Standard
13.6135,57.99251,Standard
6.413115,27.42801,Standard
14.14365,60.60172,Standard
11.56906,49.48998,Standard
9.677592,39.53033,Standard
2.995107,22.44927,Standard
0.678409,7.761501,Standard
4.87775,26.16853,Standard
13.30819,60.3288,Standard
12.43106,57.38601,Standard
11.77764,53.18648,Standard
4.664735,26.38581,Standard
0.308767,7.704072,Standard
4.214018,22.32066,Standard
2.797778,15.29756,Standard
0.975774,8.987056,Standard
13.38838,58.67056,Standard
2.34028,14.81369,Standard
3.431972,18.68901,Standard
0.696756,7.717965,Standard
5.085447,27.88406,Standard
10.62109,50.13457,Standard
2.615496,19.00285,Standard
9.501056,46.09036,Standard
9.349472,39.85614,Standard
1.5,55,Outlier
14.48448,62.68966,Standard
9.937834,48.27721,Standard
14.43671,64.65086,Standard
4.272607,20.83103,Standard
1.830574,10.4702,Standard
0.471438,7.640344,Standard
7.713517,36.0416,Standard
4.879955,26.26365,Standard
4.848044,24.80737,Standard
7.083224,32.07576,Standard
4.5,75,Outlier
13.44137,60.58495,Standard
12.99264,54.53686,Standard
8.863394,38.06026,Standard
3.630829,20.04656,Standard
3.593428,21.69759,Standard
9.546156,46.48733,Standard
2.751068,18.54105,Standard
12.23192,54.64229,Standard
14.54865,61.2856,Standard
4.513175,24.21533,Standard
10.97991,50.15492,Standard
5.115995,24.59737,Standard
13.42241,61.45365,Standard
13.45824,58.82382,Standard
5.618102,30.0712,Standard
3.564563,18.21188,Standard
7.458728,35.55894,Standard
3.185087,15.47949,Standard
8.200654,39.91746,Standard
13.16009,59.38544,Standard
0.553304,8.966726,Standard
4.368437,22.76547,Standard
9.143465,42.67733,Standard
8.03662,35.92029,Standard
2.798551,15.26287,Standard
1.738036,12.20925,Standard
0.772181,4.513382,Standard
4.675666,24.16457,Standard
5.830159,31.19535,Standard
8.328012,41.03227,Standard
10.92325,50.59127,Standard
7.681396,34.32729,Standard
13.63981,59.74418,Standard
2.939743,17.27339,Standard
5.064228,25.03991,Standard
12.05508,52.9635,Standard
12.52954,57.2486,Standard
5.516747,26.58854,Standard
13.82811,59.10465,Standard
2.173423,16.79941,Standard
13.94546,56.79194,Standard
1.396542,9.981518,Standard
3.627784,22.6512,Standard
10.69867,44.45642,Standard
